,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4164,3.5488257,0.8480978,4.12215,0.96242064,0.05321687,3.333312,93.36676,5.9647856,35.07572,0.014268735,0.0076682367,0.12177715,0.2514216,-0.021701336,-0.8440275,0.803192,0.36428976,0.5268786,0.5012688,1.9771776,3.0090284,0.44345447
4165,3.2965784,0.8655224,6.7719183,0.9888518,0.02590967,3.0397406,74.71305,4.9073944,34.018303,0.44762686,0.10631448,0.5931168,0.01102372,-0.7612489,0.94513524,0.15825,0.3567223,0.30557755,0.261655,0.89320385,2.3974283,0.4637717
4166,3.6194253,0.5009332,6.323923,0.6482178,0.0183202,3.3909492,97.02289,4.9290314,34.0462,0.935688,0.022138683,0.2585364,0.1234111,-0.67301464,-0.65449977,0.9338349,0.26930344,0.5393683,0.35388187,1.9716913,4.35134,0.82975525
4167,4.0823298,1.0675011,7.314882,0.9585469,0.016165594,4.6017933,99.96308,3.4161363,30.069775,0.6894059,0.040176522,0.8829314,0.06190632,0.21594608,0.5839648,0.0843162,0.21914203,0.18741538,0.014010515,0.94898134,6.4045086,0.45658013
4168,3.5973773,1.0765319,4.2775354,0.8105123,0.052006796,3.814621,99.866425,5.048802,28.709724,0.8994873,0.2200543,0.33386558,0.12495451,-0.08215958,0.039040208,0.86692,0.038322624,0.6656127,0.22429399,1.6541963,8.867069,0.8718293
4169,3.3634882,0.55159354,6.419479,0.6533097,0.030684942,3.9834957,73.96162,4.6632338,33.166885,0.07920934,0.10608635,0.34314576,0.07534667,0.09587014,0.06442666,0.47010046,0.33271837,0.22362961,0.20574778,2.284737,1.1086092,0.8668902
4170,3.930215,0.20634508,5.580756,0.8237369,0.0079969885,5.8672123,74.82736,5.323753,36.777603,0.23552711,0.15057391,0.5229803,0.00796617,0.89827037,0.8157563,0.40945238,0.019307464,0.33064723,0.1273707,0.4158964,1.7336891,0.1389508
4171,3.7371283,1.1415982,4.5215015,0.8542048,0.013444974,3.754897,80.13797,4.698229,36.18626,0.6308425,0.23571432,0.6489074,0.18245816,0.9555105,0.4365766,0.48276624,0.03094427,0.23578404,0.09463819,1.533919,1.3751273,0.2956336
4172,3.8456168,1.2969244,11.288124,0.74403507,0.008537019,3.504754,87.92322,2.9328601,31.765955,0.060879156,0.20407195,0.0839839,0.06524524,-0.9937254,-0.46019202,0.4158386,0.9447117,0.5516139,0.42405728,3.4422307,7.269252,0.39925417
4173,3.2050972,0.77506685,4.7551413,0.8710542,0.019536367,3.5750942,82.443016,4.5010405,36.895615,0.9113539,0.09205298,0.8452454,0.17774779,-0.97931355,0.7500986,0.33601356,0.32427335,0.58363986,0.96617526,1.7539759,2.4462473,0.8362712
4174,3.1555266,0.475868,7.8694916,0.7093209,0.02435596,3.8345394,84.3383,3.5523357,35.591846,0.840675,0.09585302,0.6357773,0.31168854,-0.853974,0.59579146,0.83086663,0.5114023,0.6098783,0.93238574,1.839809,2.2214172,0.30709618
4175,3.080999,0.56130624,7.3842072,0.7074995,0.022497552,3.6777763,87.175446,3.7490005,36.50885,0.6980971,0.07826839,0.8517049,0.23447181,-0.7484795,0.41719675,0.6714105,0.53577733,0.39935964,0.9264295,2.565647,2.262968,0.34917992
4176,3.2216916,1.117414,1.9757705,0.9047275,0.12030636,3.923997,90.03596,5.9842987,32.141132,0.49852586,0.24645104,0.10865633,0.0021612213,-0.8045116,-0.24041265,0.14834635,0.0712994,0.7349717,0.9727159,2.3719146,5.8524594,0.39093256
