Unnamed: 0,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin,rho_chi_1_true,rho_chi_2_true
5130,3.8717103,1.0274129,7.217269,0.7790406,0.025866594,3.4079218,83.34266,3.5333943,31.46836,0.14652564,0.19898827,0.78981894,0.06204916,-0.5473685,0.6534164,0.57658935,0.06558374,0.49327517,0.05939077,3.071841,7.3808327,0.14574252,-0.4604987361846571,0.20894572727258845
5131,3.3716807,1.2163291,3.3612475,0.9369624,0.0471464,4.423972,80.22301,5.5648875,35.127167,0.9177926,0.33989197,0.6307191,0.13071801,0.74563766,-0.3895244,0.64114344,0.10246387,0.30814704,0.24400476,1.7046219,1.6091733,0.58867884,0.6178654154322347,-0.13479791054806037
5132,3.2258992,0.19585109,2.3297563,0.8343117,0.058060076,3.4693317,81.91714,5.5814524,32.65617,0.99777204,0.06915706,0.26624444,0.39410746,-0.38408774,0.5196432,0.53450656,0.20469314,0.73196924,0.103965946,1.0766507,1.6318563,0.6660998,-0.2665635759284914,0.1146075224699167
5133,3.2393308,0.2696793,1.5370173,0.82755065,0.07209777,2.6369247,79.00393,5.748843,32.286633,0.96884626,0.0304066,0.05082707,0.11199215,-0.38058585,-0.03391677,0.76874536,0.2127376,0.83842933,0.48703974,2.1594305,1.625025,0.7213177,-0.116178411401139,-0.004023665648842337
5134,2.9863977,0.43767023,5.421407,0.8174888,0.05482122,3.3858356,79.02379,5.2269263,36.616314,0.34286162,0.15133165,0.91582346,0.10335305,0.35936618,0.06561124,0.65340734,0.08366004,0.02552898,0.010346124,3.6135287,5.167103,0.8243817,0.3341982699450751,0.027752401201182858
5135,3.3260326,0.2637596,4.745817,0.7688894,0.05411284,3.6880455,90.11649,5.681427,34.215347,0.86035913,0.039286673,0.09755577,0.20843168,-0.8494632,-0.14740652,0.6518323,0.37212458,0.000940787,0.3668166,0.85438865,1.7128465,0.6452844,-0.33653591800970795,-0.062352113475398305
5136,2.9991179,0.12049675,4.71449,0.8744991,0.040157408,2.284603,87.2991,4.6415806,35.188484,0.13682432,0.33939672,0.91679007,0.04525947,-0.9869977,0.32395744,0.7064874,0.6509335,0.82102066,0.6513119,3.9390464,1.422434,0.03288788,-0.7112924290136987,0.04660863200856186
5137,3.8220491,-0.3044827,4.588386,0.57427114,0.01606871,5.217533,85.196144,5.0677905,35.28289,0.9552689,0.041370478,0.6117149,0.100650944,-0.9625604,0.12591624,0.43252596,0.3816021,0.52432835,0.19070582,3.8635387,3.1971436,0.33927247,-0.5394957994175078,0.036561984143616624
5138,3.7556481,1.2367098,3.5564075,0.9643644,0.026647719,3.5789413,97.46142,4.954438,32.392902,0.35366976,0.0104983505,0.06410544,0.68922305,0.068552375,-0.04839796,0.8187106,0.1579013,0.57386917,0.89923286,3.1563091,4.2979693,0.8329397,0.013236113317493886,-0.007695204275762233
5139,3.5606985,1.2207367,5.8638864,0.7899717,0.047005486,4.307084,94.3789,5.1881466,35.19125,0.78845304,0.011667132,0.83801657,0.15540273,-0.9984304,0.24390638,0.098319635,0.79718894,0.74222994,0.40291747,0.9652295,2.9479024,0.8769278,-0.8860816157802124,0.09074200952846131
5140,3.534978,-0.5367913,4.8241796,0.9339217,0.023561703,3.318449,92.88448,4.9740915,33.722115,0.8519176,0.054992437,0.96506107,0.26606935,-0.9832587,0.6436515,0.091969945,0.88772655,0.24839802,0.6518879,1.8803744,3.0158844,0.66719675,-0.5892850626679416,0.46528491381713216
5141,2.870606,1.3218055,6.7516947,0.6769601,0.065270506,3.4798527,89.88232,4.0603685,31.49212,0.59745604,0.22584917,0.2045617,0.20082286,-0.90037656,-0.9728548,0.8010063,0.17096159,0.5081675,0.3441808,2.6364183,1.860843,0.9437124,-0.7198290577595228,-0.7910907627936831
5142,3.8731012,2.225748,5.835309,0.8909818,0.023780111,0.39532852,89.45046,4.7935715,36.102196,0.7719043,0.027466366,0.9448151,0.10127165,0.55280983,0.9537376,0.5448411,0.24211584,0.40228516,0.13823913,0.4214871,5.9024262,0.10007345,0.35624029057577083,0.7933708129146994
5143,3.7384753,3.2204094,5.205898,0.88996327,0.06088819,0.40053177,98.86108,5.294218,36.093727,0.8192495,0.032501683,0.9101304,0.08355473,0.9390187,0.8936869,0.39299077,0.18182705,0.35683346,0.655682,0.6262855,4.828671,0.15086462,0.7227428729507288,0.7362674162126619
5144,3.3068318,2.8208508,2.7440314,0.6706774,0.06004961,2.1574697,97.77512,5.8161497,32.476936,0.5078023,0.03502799,0.23383148,0.277907,0.99989843,-0.7625163,0.9167641,0.11819268,0.10642604,0.01588078,1.227755,5.61108,0.3953015,0.9997654514998273,-0.3411339961289088
5145,3.7282705,1.6053076,3.552361,0.8052535,0.045538533,2.4129467,94.486275,5.831157,31.497826,0.15629041,0.04722954,0.63519436,0.21238296,0.9991951,0.5147307,0.581259,0.2413294,0.56267494,0.025509607,1.7736764,3.0529568,0.7035491,0.9980278525915109,0.1431738184781388
5146,3.6840806,-0.37762487,3.8666496,0.82772666,0.027257532,3.867958,77.0095,5.805624,35.06253,0.89470613,0.23661195,0.2512614,0.029911704,-0.99859095,-0.71264505,0.51158744,0.595647,0.233447,0.8352113,3.083556,2.6084702,0.43435836,-0.9244288289062477,-0.4439452003954857
5147,3.575737,0.041502476,4.51875,0.786981,0.02875058,4.538889,97.51412,5.17487,32.46363,0.86349165,0.07952229,0.9843581,0.18725783,0.8615676,0.7056296,0.10149496,0.22768116,0.6919604,0.026520226,1.5020424,2.8211818,0.5366155,0.7498115254958327,0.3591198662424362
5148,3.9505863,-0.37231302,6.2430596,0.9437411,0.027573414,4.0800905,91.72041,4.7042723,34.97978,0.79800963,0.04788557,0.9857167,0.11904003,0.8067663,0.21758628,0.12744372,0.1540692,0.46098882,0.07768299,0.66290206,5.1642284,0.52323747,0.67014717115438,0.10865890140871831
5149,3.8355694,1.1479235,5.5561104,0.7419889,0.017687595,4.2157173,98.063126,4.810802,34.094177,0.7151621,0.051218793,0.6772465,0.05298427,0.88281953,-0.75953066,0.14358063,0.28534943,0.27574065,0.11649553,1.8401926,4.603956,0.50763375,0.76072074649958,-0.6540599518883643
5150,3.16187,1.3079376,4.8527255,0.8838936,0.05903316,1.4191475,99.82072,5.096395,33.530884,0.6632391,0.2924875,0.49505806,0.03516706,-0.9069695,0.6950171,0.8646101,0.14372946,0.7826574,0.15723671,0.4776151,2.979036,0.13281861,-0.7639788241201398,0.14766306939030274
